,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi
Hesburger Peetri Selver,144752.56,145111.33,144420.3,146968.73,145934.2,143936.47,144935.44,202750.11,185647.02,121872.55,113752.34,114415.44,112156.52,111950.91,171271.7,83350.1,75160.74,66168.47,22261.19,7733.5,10039.16,4969.46,14683.34,0.0,6119.74,5504.44,5029.05,4060.57,6607.44,6196.08,7130.38,3952.24,8416.22,7712.02,2336.13,3913.69,6018.36,6151.06,2309.35,8283.9,3921.03,8469.59,6833.25,57749.8,77892.93,78852.75,126373.5,129407.73,130953.04,169331.23,170090.86,11337.34
Hesburger Tallinn Arsenali keskus,149376.84,149735.59,149044.56,151593.02,150558.47,148560.75,149559.72,207374.38,186920.84,123146.38,115026.16,115689.27,113430.34,113224.73,169206.25,81284.65,79785.02,72240.06,20195.73,11337.53,9328.64,4621.37,15349.2,6119.74,0.0,7073.7,2327.29,5584.62,4665.97,2350.72,4195.43,2359.14,4677.74,3485.23,3837.5,2344.23,1403.21,3691.35,4466.13,4058.44,2255.49,4308.74,8535.83,62374.07,82517.21,83477.02,130997.77,134032.02,135577.31,173955.52,174715.13,10422.28
Hesburger Tallinn Lasnamäe Centrum,143947.75,144306.52,143615.48,146163.92,145129.39,143131.66,144130.63,201945.3,189180.05,125405.58,117285.37,117948.47,115689.55,115483.94,173761.45,85839.84,74355.93,71576.14,24750.93,13003.91,12528.9,6875.81,9095.56,5504.44,7073.7,0.0,6571.92,1540.47,8513.79,7614.98,9017.94,4812.33,10101.86,9163.86,3869.92,5223.34,7261.16,7970.85,3453.18,9737.07,5154.42,9968.35,1673.18,56944.99,77088.12,78047.94,125568.69,128602.92,130148.23,168526.42,169286.05,13827.08
Hesburger Tallinn Kristiine keskus,148363.2,148721.95,148030.92,150579.36,149544.83,147547.11,148546.08,206360.73,184709.25,120934.78,112814.57,113477.68,111218.75,111013.14,168486.42,80564.81,78771.37,72080.94,19475.9,9125.93,7332.35,2409.77,15054.52,5029.05,2327.29,6571.92,0.0,5105.65,2507.82,1151.99,2569.19,2251.96,3578.47,2687.39,2768.11,1416.3,1151.82,1487.23,3396.74,3259.27,1583.16,3444.97,8047.18,61360.43,81503.56,82463.38,129984.13,133018.36,134563.67,172941.86,173701.48,8425.99
Hesburger Tallinn Lasnamäe Smuuli,143899.94,144258.69,143567.66,146116.09,145081.56,143083.84,144082.81,201897.47,187736.17,123961.71,115841.5,116504.61,114245.68,114040.07,172317.58,84395.98,74308.11,71895.52,23307.07,11560.04,11085.04,5431.95,10579.35,4060.57,5584.62,1540.47,5105.65,0.0,7069.92,6148.71,7551.66,3323.25,8635.58,7697.58,2426.05,3757.07,5794.88,6504.58,2009.32,8270.79,3665.34,8502.08,3020.26,56897.16,77040.3,78000.12,125520.87,128555.1,130100.4,168478.61,169238.22,12383.22
Hesburger Tallinn Magistral,150239.59,150598.34,149907.31,152455.77,151421.22,149423.5,150422.47,208237.13,182752.23,118977.77,110857.55,111520.66,109261.73,109056.13,166014.63,78093.02,80647.77,70657.85,17004.11,7702.85,4860.56,1675.3,17530.35,6607.44,4665.97,8513.79,2507.82,7069.92,0.0,2975.48,1113.41,4771.52,2241.96,3467.33,4863.85,3914.51,3435.08,1099.82,5284.37,3223.69,4102.72,2781.26,9989.05,63236.82,83379.96,84339.78,131860.53,134894.77,136440.06,174818.27,175577.88,5954.2
Hesburger Tallinn Merimetsa Selver,149530.22,149888.98,149197.95,151746.39,150711.86,148714.14,149713.11,207527.77,185587.45,121812.98,113692.78,114355.88,112096.95,111891.35,167306.38,79384.77,79938.4,73072.51,18295.85,10117.5,7084.42,3401.34,16035.17,6196.08,2350.72,7614.98,1151.99,6148.71,2975.48,0.0,2079.35,3232.69,2542.37,1591.7,3935.14,2459.36,1209.27,2134.46,4563.77,2164.9,2563.89,2408.86,9090.24,62527.46,82670.59,83630.41,131151.16,134185.39,135730.69,174108.89,174868.52,8178.06
Hesburger Tallinn Mustamäe,150762.53,151121.28,150430.25,152978.7,151944.16,149946.44,150945.41,208760.06,183754.69,119980.22,111860.01,112523.12,110264.19,110058.58,166375.41,78453.8,81170.71,71603.9,17364.89,8648.9,5221.34,2274.23,17536.14,7130.38,4195.43,9017.94,2569.19,7551.66,1113.41,2079.35,0.0,4733.67,1421.85,2597.5,5196.18,3960.34,2846.1,1158.49,5807.31,2369.93,4064.86,1919.44,10493.2,63759.77,83902.9,84862.72,132383.47,135417.7,136963.0,175341.2,176100.81,6314.98
Hesburger Tallinn Nautica Keskus,147109.27,147468.02,146776.98,149325.42,148290.89,146293.17,147292.14,205106.8,186047.8,122273.34,114153.13,114816.23,112557.3,112351.7,170607.95,82686.35,77517.44,70072.57,21597.44,10464.49,9375.41,3748.33,13065.02,3952.24,2359.14,4812.33,2251.96,3323.25,4771.52,3232.69,4733.67,0.0,5719.57,4781.57,1670.01,940.76,2717.33,3739.2,2278.02,5354.77,717.03,5586.06,6240.29,60106.49,80249.63,81209.45,128730.2,131764.42,133309.73,171687.94,172447.55,10553.55
Hesburger Tallinn Nurmenuku,151937.25,152296.0,151604.97,154153.42,153118.88,151121.16,152120.13,209934.78,184533.75,120759.29,112639.08,113302.19,111043.26,110837.65,165101.73,77180.14,82345.42,72788.86,16091.22,9833.85,5108.06,3569.13,18522.05,8416.22,4677.74,10101.86,3578.47,8635.58,2241.96,2542.37,1421.85,5719.57,0.0,1378.64,6342.16,4946.24,3685.1,2531.89,6970.79,1146.0,5050.77,703.57,11577.12,64934.48,85077.62,86037.43,133558.19,136592.42,138137.72,176515.92,177275.53,6201.7
