,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Jõgeva,53212.68,53710.98,52751.19,56290.77,54853.89,52079.21,53466.71,133765.2,155897.8,84881.68,151157.64,150172.53,153517.05,153602.86,314782.69,228730.64,136651.88,68189.1,182903.81,160337.8,166016.98,160662.75,149297.61,155316.77,161739.55,154198.98,160331.69,154132.56,162937.78,161952.63,163664.13,158590.08,165295.75,164058.11,156549.59,158733.91,161635.17,162249.77,155909.05,164852.42,158703.95,165110.31,152007.19,81435.86,90339.89,89522.56,112466.72,116680.92,114421.99,168662.13,169717.14,167820.05,123345.54,141510.47,78794.6,0.0,63575.8,119925.88,119674.21,142831.11,92661.31,113718.05,286650.38,199384.72,132033.17,41336.24,135619.92,161526.78,104993.13,209603.78,33046.7,103832.78,97652.19,125800.43,173578.8,141641.5,140815.64,77010.21,62623.46,127846.14,79863.27,61832.51
Kallaste,54596.85,55199.07,55740.05,59483.17,58496.98,55219.87,57109.8,115455.02,159001.36,142418.34,208694.31,207709.19,211053.7,211139.52,372319.34,302713.47,201491.41,133028.63,230790.63,208224.61,213903.8,208549.56,197184.42,203203.58,209626.36,202085.8,208218.5,202019.38,210824.59,209839.42,211550.94,206476.89,213182.56,211944.92,204436.41,206620.72,209521.98,210136.58,203795.86,212739.23,206590.77,212997.13,199894.0,123041.09,108154.75,107337.42,111348.95,115563.15,113304.22,154316.61,155371.63,215706.86,178777.63,144614.05,81898.17,63575.8,0.0,163531.25,167561.02,207535.88,91543.54,127614.55,360633.22,256921.39,164104.48,27715.79,190309.48,148085.63,108096.69,257490.59,90583.36,85522.59,96534.41,94933.48,221465.61,129714.5,198352.31,134546.88,108260.01,130949.7,144702.8,119369.17
Karksi-Nuia,109572.95,109479.42,108049.96,104648.69,106522.87,108352.27,107120.98,114920.33,61064.9,38599.45,80751.27,79776.76,83121.28,83196.48,261219.0,199806.81,150627.52,119585.2,197574.53,196073.08,199695.77,203617.55,222346.84,208168.45,209937.81,213075.56,206866.06,211070.16,204147.95,208085.84,205540.31,208725.23,206622.3,208387.42,208006.09,207512.88,208322.64,205208.31,208590.17,207873.28,207863.73,207421.91,215124.59,180381.31,200881.0,201419.03,232254.7,236468.91,234209.98,288450.13,289505.13,198951.59,15484.32,89587.48,81881.51,119925.88,163531.25,0.0,186438.59,44242.58,212449.3,226240.36,257726.56,145370.83,220679.5,161124.22,27016.19,281314.75,81804.86,224756.97,87651.38,126265.26,217440.17,151575.8,198892.05,261429.48,82340.85,64113.53,168609.25,32601.66,107737.73,77641.96
Kehra,165403.27,165901.56,164941.78,168481.36,167044.48,164269.8,165657.3,245955.78,231140.33,145301.88,166679.3,165694.17,163691.0,163405.45,262812.78,138551.27,67632.64,68997.41,63654.32,39792.8,46767.49,41413.26,30048.12,36067.27,42490.05,34949.49,41082.19,34883.07,43688.29,42703.12,44414.63,39340.58,46046.26,44808.62,37300.1,39484.42,42385.68,43000.27,36659.56,45602.93,39454.46,45860.82,32757.7,44565.79,72542.41,73875.52,139876.78,144090.98,146237.27,199540.44,200595.45,48570.55,181912.92,253701.06,190985.19,119674.21,167561.02,186438.59,0.0,180777.58,117213.86,96207.45,196471.02,147414.83,46696.41,139889.39,194287.58,192830.31,217183.7,90354.29,111322.67,216023.38,122204.73,237991.02,54329.3,172945.02,156337.3,122054.54,65277.29,200778.47,78829.95,106581.16
Kilingi-Nõmme,153577.56,153484.05,152054.59,148653.31,150527.5,152356.89,151125.61,158924.95,93141.39,58425.64,37951.96,36977.45,40321.97,40397.17,218419.69,163411.83,124834.62,113924.19,174326.72,170280.17,173902.86,177824.66,194015.64,182375.56,184144.91,187282.66,181073.17,185277.27,178355.05,182292.94,179747.42,182932.34,180829.39,182594.52,182213.19,181719.97,182529.73,179415.42,182797.27,182080.38,182070.83,181629.02,189331.7,174720.3,195220.0,195758.03,256590.97,260805.16,260786.52,315026.66,316081.69,173158.7,29572.31,133833.83,125886.14,142831.11,207535.88,44242.58,180777.58,0.0,233928.05,220579.36,221331.58,102571.52,215018.5,184029.45,17536.76,309544.5,125809.49,188362.0,109964.05,170269.89,238918.92,195580.42,175751.17,289659.22,39541.55,76134.52,162948.23,76606.29,102076.72,84785.73
Kiviõli,133889.52,134491.72,135032.7,138775.83,137789.64,134512.53,136402.45,206743.8,238294.02,177405.08,220238.39,219253.27,222597.78,222683.59,360112.16,252366.3,178918.09,120098.84,180443.47,157877.44,163556.64,158202.41,146837.27,152856.42,159279.19,151738.63,157871.33,151672.22,160477.42,159492.27,161203.78,156129.72,162835.39,161597.77,154089.25,156273.56,159174.83,159789.41,153448.7,162392.08,156243.61,162649.95,149546.84,75016.91,46934.2,43692.26,23366.43,27580.63,29726.92,83030.09,84085.12,165359.69,215868.95,223906.7,161190.83,92661.31,91543.54,212449.3,117213.86,233928.05,0.0,39779.1,310286.03,244714.2,94675.28,63871.9,228143.33,76319.96,187389.34,207143.42,125570.11,176811.38,5694.39,186222.27,171118.44,56434.68,209896.39,175205.0,72469.27,210242.36,131980.42,159731.63
Kunda,169960.53,170562.73,171103.72,174846.84,173860.66,170583.55,172473.48,242814.81,274365.03,185103.66,206889.7,205904.58,209249.11,209334.91,356893.56,232632.03,161713.41,106750.16,157678.45,130738.3,140703.28,132851.69,112096.6,130689.27,132819.14,123426.81,132342.27,125414.88,135126.72,133704.3,135789.05,129646.63,137158.34,135855.53,128643.99,130476.66,133212.86,134339.89,128097.98,136651.67,130228.87,136972.89,121235.02,56530.74,28448.03,25206.08,57254.45,65412.9,67559.19,113094.99,114150.01,142506.33,221714.7,259977.72,197261.84,113718.05,127614.55,226240.36,96207.45,220579.36,39779.1,0.0,290551.78,241495.59,57374.11,99942.92,234089.36,105730.97,223460.36,185080.19,131283.53,212882.39,43526.66,222293.28,148353.44,85845.68,196547.7,161856.31,58752.9,228257.86,118631.73,146382.94
Kärdla,321022.72,321521.0,320561.22,320014.56,318487.44,319889.25,321276.75,370795.69,313029.69,243692.67,183701.58,184622.55,181485.11,181199.56,123586.05,57940.2,150172.25,218628.59,142963.98,161975.64,159839.97,167654.78,189696.47,173684.25,170815.48,177142.31,169815.84,175136.91,166382.7,168176.72,166883.81,172762.47,165114.72,166095.72,172072.84,171550.11,169763.86,167860.23,172656.92,165426.89,171841.92,165311.17,179191.34,237637.97,265614.59,266947.72,332948.97,337163.16,339309.44,392612.63,393667.66,158242.11,249460.63,345462.84,312981.19,286650.38,360633.22,257726.56,196471.02,221331.58,310286.03,290551.78,0.0,120815.63,246235.38,332961.56,237425.06,385902.5,328164.41,140648.88,253684.75,371642.81,315276.94,393610.47,152515.8,366017.22,185471.95,222467.16,258349.47,288477.03,208491.97,225682.39
Lihula,233576.56,234074.86,233115.06,232568.41,231041.28,232443.09,233830.59,260053.2,194269.64,146499.7,64705.2,65748.91,64256.07,62203.19,116655.11,61996.71,79997.39,142633.44,110007.4,121282.68,122827.84,126749.63,148761.8,131300.53,133069.89,136207.64,129998.15,134202.23,127280.03,131217.92,128672.4,131857.31,129754.37,131519.5,131138.17,130644.95,131454.72,128340.4,131722.25,131005.36,130995.8,130553.99,138256.67,172066.13,200042.75,201375.86,267377.13,271591.31,273737.59,327040.78,328095.81,122083.68,130700.55,234962.06,227014.39,199384.72,256921.39,145370.83,147414.83,102571.52,244714.2,241495.59,120815.63,0.0,191984.55,240583.06,118665.01,320330.66,226937.73,106421.84,166517.66,271398.13,249705.08,306164.31,111431.84,300445.38,75147.45,134377.33,181310.84,177734.53,118705.12,137592.56
Loksa,181618.88,182117.17,181157.38,184696.97,183260.08,180485.41,181872.91,262171.41,265381.25,179542.8,200920.22,199935.09,197931.92,197646.38,307382.5,188315.63,112202.37,103238.33,103469.71,86896.55,86494.53,78642.95,57887.86,76480.54,78610.41,69218.07,78133.52,71206.13,80917.97,79495.55,81580.3,75437.88,82949.59,81646.8,74435.25,76267.91,79004.11,80131.14,73889.24,82442.94,76020.13,82764.16,67026.28,50808.93,59331.57,60664.69,112150.63,120309.09,122455.37,167991.17,169046.19,88297.59,216153.84,269916.66,207200.8,132033.17,164104.48,220679.5,46696.41,215018.5,94675.28,57374.11,246235.38,191984.55,0.0,136432.86,228528.5,160627.14,233399.31,130871.45,136219.38,232238.97,98422.84,254206.63,94144.69,140741.86,190578.22,156295.45,71354.66,235019.39,113070.88,140822.09
Mustvee,70061.76,70663.97,71204.96,74948.08,73961.89,70684.77,72574.71,142916.05,174466.27,126080.02,192355.98,191370.86,194715.39,194801.19,355981.03,275041.84,180845.55,112500.49,203119.0,180552.97,186232.17,180877.94,169512.8,175531.94,181954.72,174414.16,180546.86,174347.75,183152.95,182167.8,183879.31,178805.25,185510.92,184273.3,176764.78,178949.09,181850.36,182464.94,176124.23,185067.61,178919.14,185325.48,172222.38,95369.45,80483.12,79665.79,83677.31,87891.52,85632.59,126644.98,127699.99,188035.22,164543.89,160078.95,97363.08,41336.24,27715.79,161124.22,139889.39,184029.45,63871.9,99942.92,332961.56,240583.06,136432.86,0.0,176818.27,120413.99,123561.59,229818.95,74245.05,112983.63,68862.78,122394.52,193793.97,102042.87,182013.98,118208.55,80588.38,146414.61,124382.08,103030.85
Mõisaküla,136351.17,136257.66,134828.19,131426.92,133301.09,135130.5,133899.22,141698.56,75858.06,54293.48,54045.45,53070.94,56415.46,56490.66,234513.19,179505.33,139707.05,127434.19,190420.2,185152.61,188775.3,192697.09,208888.08,197248.0,199017.34,202155.09,195945.61,200149.7,193227.48,197165.38,194619.86,197804.78,195701.83,197466.95,197085.63,196592.41,197402.17,194287.86,197669.7,196952.81,196943.27,196501.45,204204.14,188230.3,208730.0,209268.03,247948.75,252162.94,249904.02,304144.16,305199.16,188031.14,12345.92,116550.5,108659.75,135619.92,190309.48,27016.19,194287.58,17536.76,228143.33,234089.36,237425.06,118665.01,228528.5,176818.27,0.0,297008.81,108583.1,204455.48,103345.41,153043.5,233134.2,178354.03,191844.66,277123.53,55635.04,75596.29,176458.23,59379.89,115586.72,93335.99
Narva-Jõesuu,190431.59,191033.81,191574.8,195317.92,194331.73,191054.61,192944.55,263285.88,294836.09,246270.56,295854.84,294869.72,298214.25,298300.03,435728.59,327982.75,254534.55,195715.28,256059.91,233493.89,239173.08,233818.84,215349.66,228472.86,234895.64,227355.08,233487.78,227288.66,236093.88,235108.72,236820.22,231746.17,238451.84,237214.2,229705.69,231890.0,234791.27,235405.86,229065.14,238008.52,231860.05,238266.41,225163.28,150633.36,122550.65,119308.7,54651.71,48739.37,47164.39,14066.33,15398.7,240976.14,284734.44,280448.78,217732.91,161526.78,148085.63,281314.75,192830.31,309544.5,76319.96,105730.97,385902.5,320330.66,160627.14,120413.99,297008.81,0.0,243931.44,282759.88,194435.58,233353.45,71402.88,242764.34,246734.89,21063.62,285512.84,238399.09,148085.72,266784.44,207596.86,223221.39
Otepää,54138.38,54044.86,52615.4,49214.13,51088.3,52917.71,51686.41,56432.84,52175.78,87187.88,162318.19,161343.67,164688.2,164763.39,342785.91,270244.66,198760.92,151395.8,245707.94,239579.13,247829.17,258172.25,246807.11,252826.27,259249.05,251708.48,257841.19,251642.06,260447.28,259462.11,261173.63,256099.58,262805.25,261567.61,254059.09,256243.41,259144.67,259759.27,253418.55,262361.94,256213.45,262619.81,249516.69,182802.0,191706.03,190888.7,207194.77,211408.95,209150.03,250162.42,251217.44,247085.0,97051.23,36646.01,26555.11,104993.13,108096.69,81804.86,217183.7,125809.49,187389.34,223460.36,328164.41,226937.73,233399.31,123561.59,108583.1,243931.44,0.0,271490.75,94854.2,42651.85,192380.22,71535.41,247025.44,225560.31,163907.77,111553.5,163989.59,49203.2,139548.33,112762.91
Paldiski,255332.84,255831.14,254871.34,258410.92,256974.05,254199.36,255586.86,335885.34,280060.13,184456.94,150731.98,151652.95,148515.52,148229.97,227679.09,82729.13,73336.34,138250.61,26898.29,52920.75,43774.27,51589.08,73647.29,57618.55,54065.33,61952.5,52955.38,59915.96,50418.51,51435.37,50025.88,55865.86,48470.94,49345.55,56793.95,54791.76,53014.3,51491.2,57667.08,48591.56,54936.94,48915.02,64001.54,134495.36,162471.98,163805.09,229806.34,234020.55,236166.83,289470.0,290525.03,42176.41,216491.03,301405.13,249487.31,209603.78,257490.59,224756.97,90354.29,188362.0,207143.42,185080.19,140648.88,106421.84,130871.45,229818.95,204455.48,282759.88,271490.75,0.0,186942.56,305952.94,212134.31,327920.59,36450.09,262874.59,152502.38,158973.3,155206.86,242670.91,148845.39,162188.53
Põltsamaa,67402.88,67901.18,66941.39,66394.73,64867.6,66269.41,67656.91,147955.41,122316.86,52014.61,118290.58,117305.45,120649.98,120735.79,281915.63,195765.02,103704.19,49757.46,160242.59,138257.06,149753.59,145556.19,140946.06,140592.95,149025.95,148103.52,148804.7,148547.09,146828.17,150181.94,148142.17,146015.47,149787.98,151367.86,143770.81,145961.94,150261.27,147497.2,143733.59,151151.53,145972.13,150537.03,147553.25,85424.47,105924.16,106462.2,145375.52,149589.72,147330.8,201570.92,202625.95,151214.8,91071.03,126045.84,68299.1,33046.7,90583.36,87651.38,111322.67,109964.05,125570.11,131283.53,253684.75,166517.66,136219.38,74245.05,103345.41,194435.58,94854.2,186942.56,0.0,118022.98,130560.98,139990.63,151143.08,174550.3,107948.58,44143.15,73652.41,97048.66,46291.48,28965.44
Põlva,52126.57,51587.42,51306.71,50537.6,52125.46,51757.37,51548.61,30225.33,89157.91,129711.07,206778.58,205804.08,209148.59,209223.78,387246.31,313723.06,221662.23,171794.97,279252.97,256686.95,262366.16,257011.91,245646.77,251665.92,258088.7,250548.14,256680.84,250481.72,259286.94,258301.78,260013.28,254939.23,261644.91,260407.27,252898.75,255083.06,257984.33,258598.92,252258.2,261201.58,255053.11,261459.47,248356.34,181641.66,190545.69,189728.36,196616.78,200830.98,198572.06,239584.45,240639.47,264169.22,141511.64,55257.84,56280.98,103832.78,85522.59,126265.26,216023.38,170269.89,176811.38,212882.39,371642.81,271398.13,232238.97,112983.63,153043.5,233353.45,42651.85,305952.94,118022.98,0.0,181802.25,30196.26,269927.97,214982.33,208368.17,146907.22,162829.25,93663.6,164249.53,146644.44
Püssi,138880.39,139482.59,140023.58,143766.7,142780.52,139503.41,141393.34,211734.67,243284.89,182395.97,225229.27,224244.14,227588.67,227674.47,365103.03,257357.17,183908.98,125089.72,185434.34,162868.31,168547.52,163193.28,151828.14,157847.3,164270.06,156729.52,162862.2,156663.09,165468.3,164483.14,166194.66,161120.59,167826.28,166588.64,159080.13,161264.44,164165.7,164780.3,158439.58,167382.95,161234.48,167640.84,154537.72,80007.79,51925.08,48683.13,18449.35,22663.55,24809.83,78113.02,79168.03,170350.58,220859.83,228897.58,166181.7,97652.19,96534.41,217440.17,122204.73,238918.92,5694.39,43526.66,315276.94,249705.08,98422.84,68862.78,233134.2,71402.88,192380.22,212134.31,130560.98,181802.25,0.0,191213.14,176109.33,51517.59,214887.27,180195.88,77460.16,215233.23,136971.3,164722.5
Räpina,73156.23,73318.66,74609.05,76910.95,78498.81,74790.84,77921.97,49768.95,114468.44,168930.58,232089.11,231114.61,234459.13,234534.33,412556.84,335690.72,243629.89,193762.61,301220.63,278654.59,284333.78,278979.56,267614.41,273633.56,280056.34,272515.78,278648.5,272449.38,281254.59,280269.44,281980.94,276906.88,283612.56,282374.94,274866.41,277050.72,279951.97,280566.56,274225.88,283169.22,277020.75,283427.13,270324.0,203609.31,202833.48,202016.16,206027.67,210241.88,207982.95,248995.34,250050.36,286136.84,166822.17,79576.8,96968.34,125800.43,94933.48,151575.8,237991.02,195580.42,186222.27,222293.28,393610.47,306164.31,254206.63,122394.52,178354.03,242764.34,71535.41,327920.59,139990.63,30196.26,191213.14,0.0,291895.59,224393.22,233678.7,183789.8,184796.91,118974.13,186217.17,168612.09
Saue,219307.86,219806.16,218846.36,222385.95,220949.06,218174.39,219561.89,299860.38,248567.47,159991.64,138121.16,139042.13,135904.69,135619.14,239546.0,94596.05,48352.83,102451.13,9750.13,17121.28,7749.28,15564.1,37605.79,21593.56,20497.8,25051.64,17725.16,23046.23,14292.02,17380.79,14793.14,20671.79,14635.76,16400.89,19982.17,19459.42,18631.29,15769.55,20566.24,15886.75,19751.24,15435.38,27100.67,98470.38,126446.99,127780.11,193781.36,197995.56,200141.84,253445.03,254500.05,6151.43,185910.41,276939.81,225022.02,173578.8,221465.61,198892.05,54329.3,175751.17,171118.44,148353.44,152515.8,111431.84,94144.69,193793.97,191844.66,246734.89,247025.44,36450.09,151143.08,269927.97,176109.33,291895.59,0.0,226849.61,139968.47,134508.0,119181.88,218205.61,113045.92,140797.13
Sillamäe,172060.47,172662.69,173203.67,176946.8,175960.61,172683.48,174573.42,244914.75,276464.97,226385.27,275969.56,274984.44,278328.94,278414.75,415843.31,308097.47,234649.27,175830.0,236174.63,213608.61,219287.8,213933.56,195464.36,208587.58,215010.36,207469.8,213602.5,207403.38,216208.59,215223.42,216934.94,211860.89,218566.56,217328.92,209820.41,212004.72,214905.98,215520.58,209179.86,218123.23,211974.77,218381.13,205278.0,130748.08,102665.37,99423.41,34766.43,28854.09,27279.1,29884.48,30939.5,221090.86,264849.13,262077.66,199361.78,141641.5,129714.5,261429.48,172945.02,289659.22,56434.68,85845.68,366017.22,300445.38,140741.86,102042.87,277123.53,21063.62,225560.31,262874.59,174550.3,214982.33,51517.59,224393.22,226849.61,0.0,265627.56,218513.81,128200.44,248413.33,187711.58,203336.11
Sindi,175007.48,175505.78,174545.98,174317.72,176191.91,173874.02,176790.02,197023.23,131239.67,79958.37,10527.9,9542.77,12887.3,12973.1,190995.63,127552.21,91703.95,89892.54,138467.09,137149.52,140772.19,144693.98,160884.97,149244.89,151014.23,154152.0,147942.5,152146.59,145224.39,149162.27,146616.75,149801.67,147698.72,149463.86,149082.53,148589.31,149399.06,146284.75,149666.59,148949.72,148940.16,148498.34,156201.03,150688.64,171188.34,171726.38,232559.31,236773.52,236754.88,290995.0,292050.03,140028.03,67670.59,171932.09,163984.42,140815.64,198352.31,82340.85,156337.3,39541.55,209896.39,196547.7,185471.95,75147.45,190578.22,182013.98,55635.04,285512.84,163907.77,152502.38,107948.58,208368.17,214887.27,233678.7,139968.47,265627.56,0.0,71888.44,138916.59,114704.56,78035.34,80539.65
Suure-Jaani,111202.05,111700.35,110740.56,111686.21,108666.77,110068.58,111456.08,167117.33,115160.52,24519.69,82230.44,81245.31,84589.84,84675.64,262698.16,164547.41,86243.47,55201.15,133190.48,131689.03,135311.72,139233.5,157962.8,143784.41,145553.77,148691.52,142482.02,146686.11,139763.91,143701.8,141156.27,144341.19,142238.25,144003.38,143622.05,143128.83,143938.59,140824.27,144206.13,143489.23,143479.69,143037.86,150740.55,115997.26,136496.95,137034.98,189339.03,193553.23,191294.31,245534.44,246589.45,134567.55,63263.42,143532.88,90950.69,77010.21,134546.88,64113.53,122054.54,76134.52,175205.0,161856.31,222467.16,134377.33,156295.45,118208.55,75596.29,238399.09,111553.5,158973.3,44143.15,146907.22,180195.88,183789.8,134508.0,218513.81,71888.44,0.0,104225.2,84798.66,43353.68,17661.85
Tamsalu,112209.15,112707.45,111747.66,115287.24,113850.37,111075.68,112463.18,192761.67,214894.27,127472.53,149258.59,148273.47,151617.98,151703.8,296708.81,200429.73,107307.52,49119.04,128506.89,105940.87,111620.06,106265.83,94900.69,100919.84,107342.62,99802.06,105934.76,99735.64,108540.85,107555.7,109267.2,104193.15,110898.83,109661.19,102152.67,104336.98,107238.25,107852.84,101512.13,110455.5,104307.03,110713.39,97610.27,20757.35,33393.54,33931.57,95132.2,99346.4,101492.68,154795.86,155850.88,113423.13,164083.58,200506.94,137791.08,62623.46,108260.01,168609.25,65277.29,162948.23,72469.27,58752.9,258349.47,181310.84,71354.66,80588.38,176458.23,148085.72,163989.59,155206.86,73652.41,162829.25,77460.16,184796.91,119181.88,128200.44,138916.59,104225.2,0.0,170626.75,61000.62,88751.83
Tõrva,76991.4,76897.88,75468.41,72067.14,73941.32,75770.73,74539.43,82318.67,30361.87,57379.16,113114.98,112140.47,115484.99,115560.19,293582.72,230557.28,169941.08,133925.08,216888.09,215386.64,219009.33,222931.11,236686.72,227482.03,229251.38,232389.13,226179.64,230383.72,223461.52,227399.41,224853.88,228038.8,225935.86,227700.98,227319.66,226826.44,227636.2,224521.88,227903.73,227186.84,227177.3,226735.47,231404.59,182398.8,202898.5,203436.53,230047.78,234261.97,232003.05,273015.44,274070.47,218265.17,47848.03,58734.21,49299.96,127846.14,130949.7,32601.66,200778.47,76606.29,210242.36,228257.86,288477.03,177734.53,235019.39,146414.61,59379.89,266784.44,49203.2,242670.91,97048.66,93663.6,215233.23,118974.13,218205.61,248413.33,114704.56,84798.66,170626.75,0.0,122077.6,94829.3
Türi,113629.43,114127.73,113167.94,112621.27,111094.15,112495.95,113883.45,194181.95,152439.47,66601.01,88377.34,87392.22,90736.73,90822.55,234103.08,150572.22,58511.4,11976.57,122145.43,100159.9,111656.43,107459.02,114738.21,102495.8,110928.8,110006.35,110707.54,110449.94,108731.01,112084.78,110045.02,107918.31,111690.84,113270.7,105673.65,107864.77,112164.11,109400.05,105636.44,113054.38,107874.97,112439.87,109456.09,72772.67,93272.38,93810.41,154643.34,158857.53,158838.91,213079.03,214134.05,113117.63,103212.05,180811.81,112993.23,79863.27,144702.8,107737.73,78829.95,102076.72,131980.42,118631.73,208491.97,118705.12,113070.88,124382.08,115586.72,207596.86,139548.33,148845.39,46291.48,164249.53,136971.3,186217.17,113045.92,187711.58,78035.34,43353.68,61000.62,122077.6,0.0,27880.31
Võhma,96024.34,96522.64,95562.85,95016.2,93489.06,94890.88,96278.38,176576.86,125191.17,39352.71,90881.65,89896.52,93241.05,93326.85,252990.52,167762.64,89458.7,39727.78,136405.72,127911.11,139407.64,135210.23,142489.42,130247.01,138680.02,137757.56,138458.75,138201.14,136482.22,139836.0,137796.23,135669.52,139442.05,141021.92,133424.86,135615.98,139915.31,137151.27,133387.66,140805.59,135626.19,140191.08,137207.3,100523.88,121023.59,121561.62,174161.33,178375.53,176116.59,230356.73,231411.75,140868.84,81061.62,153563.52,86207.81,61832.51,119369.17,77641.96,106581.16,84785.73,159731.63,146382.94,225682.39,137592.56,140822.09,103030.85,93335.99,223221.39,112762.91,162188.53,28965.44,146644.44,164722.5,168612.09,140797.13,203336.11,80539.65,17661.85,88751.83,94829.3,27880.31,0.0
