,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Hesburger Rakvere Vaala Keskus,139108.27,139606.56,138646.77,142186.34,140749.47,137974.78,139362.28,219660.78,241793.38,160282.33,182068.38,181083.25,184427.78,184513.58,316773.81,209027.97,135579.77,81928.83,137105.13,114539.1,120218.3,114864.06,103498.92,109518.08,115940.85,108400.3,114532.99,108333.88,117139.09,116153.93,117865.44,112791.38,119497.06,118259.43,110750.91,112935.22,115836.48,116451.08,110110.37,119053.73,112905.27,119311.63,106208.5,31678.58,3785.46,0.0,66355.17,70569.38,72715.66,126018.84,127073.86,122021.36,196893.38,227406.05,164690.19,89522.56,107337.42,201419.03,73875.52,195758.03,43692.26,25206.08,266947.72,201375.86,60664.69,79665.79,209268.03,119308.7,190888.7,163805.09,106462.2,189728.36,48683.13,202016.16,127780.11,99423.41,171726.38,137034.98,33931.57,203436.53,93810.41,121561.62
Hesburger Kohtla-Järve Vironia Keskus,153694.92,154297.14,154838.13,158581.23,157595.06,154317.94,156207.88,226549.2,258099.42,197210.5,242901.31,241916.19,245260.7,245346.52,382775.06,275029.22,201581.02,142761.77,203106.39,180540.36,186219.55,180865.31,166873.13,175519.33,181942.11,174401.55,180534.25,174335.14,183140.34,182155.19,183866.7,178792.64,185498.31,184260.69,176752.16,178936.48,181837.75,182452.33,176111.63,185054.98,178906.53,185312.88,172209.77,97679.84,69597.13,66355.17,0.0,10239.88,12675.46,62015.74,63070.75,188022.61,235674.36,243712.11,180996.23,112466.72,111348.95,232254.7,139876.78,256590.97,23366.43,57254.45,332948.97,267377.13,112150.63,83677.31,247948.75,54651.71,207194.77,229806.34,145375.52,196616.78,18449.35,206027.67,193781.36,34766.43,232559.31,189339.03,95132.2,230047.78,154643.34,174161.33
Hesburger Jõhvi,157909.13,158511.33,159052.33,162795.44,161809.25,158532.14,160422.08,230763.41,262313.63,201424.7,247115.52,246130.39,249474.91,249560.72,386989.28,279243.41,205795.22,146975.95,207320.58,184754.56,190433.75,185079.52,173714.38,179733.53,186156.31,178615.75,184748.45,178549.33,187354.55,186369.39,188080.89,183006.84,189712.52,188474.89,180966.36,183150.67,186051.94,186666.53,180325.83,189269.19,183120.72,189527.08,176423.95,101894.03,73811.32,70569.38,10239.88,0.0,2598.49,55665.55,56720.56,192236.81,239888.56,247926.31,185210.44,116680.92,115563.15,236468.91,144090.98,260805.16,27580.63,65412.9,337163.16,271591.31,120309.09,87891.52,252162.94,48739.37,211408.95,234020.55,149589.72,200830.98,22663.55,210241.88,197995.56,28854.09,236773.52,193553.23,99346.4,234261.97,158857.53,178375.53
Hesburger Ahtme Maxima,155650.19,156252.41,156793.39,160536.52,159550.33,156273.2,158163.14,228504.48,260054.7,199165.77,247096.88,246111.75,249456.27,249542.08,389135.56,281389.69,207941.5,146957.31,209466.86,186900.84,192580.03,187225.8,175860.66,181879.81,188302.59,180762.03,186894.73,180695.63,189500.83,188515.67,190227.17,185153.13,191858.8,190621.17,183112.64,185296.97,188198.22,188812.81,182472.11,191415.47,185267.02,191673.36,178570.25,104040.32,75957.61,72715.66,12675.46,2598.49,0.0,55447.08,56502.1,194383.09,237629.64,245667.38,182951.52,114421.99,113304.22,234209.98,146237.27,260786.52,29726.92,67559.19,339309.44,273737.59,122455.37,85632.59,249904.02,47164.39,209150.03,236166.83,147330.8,198572.06,24809.83,207982.95,200141.84,27279.1,236754.88,191294.31,101492.68,232003.05,158838.91,176116.59
Hesburger Narva Fama Keskus,196662.58,197264.8,197805.78,201548.91,200562.72,197285.59,199175.53,269516.88,301067.09,253405.91,301337.0,300351.88,303696.41,303782.22,442438.72,334692.88,261244.69,201197.45,262770.03,240204.02,245883.22,240528.98,222713.67,235183.0,241605.78,234065.22,240197.92,233998.8,242804.02,241818.84,243530.36,238456.3,245161.98,243924.34,236415.83,238600.14,241501.41,242116.0,235775.28,244718.66,238570.19,244976.55,231873.42,157343.5,129260.79,126018.84,62015.74,55665.55,55447.08,0.0,1898.68,247686.28,291869.78,286679.78,223963.91,168662.13,154316.61,288450.13,199540.44,315026.66,83030.09,113094.99,392612.63,327040.78,167991.17,126644.98,304144.16,14066.33,250162.42,289470.0,201570.92,239584.45,78113.02,248995.34,253445.03,29884.48,290995.0,245534.44,154795.86,273015.44,213079.03,230356.73
Hesburger Narva Juuli,197717.61,198319.81,198860.8,202603.92,201617.73,198340.63,200230.55,270571.88,302122.09,254460.92,302392.03,301406.91,304751.41,304837.22,443493.75,335747.91,262299.69,202252.47,263825.06,241259.05,246938.23,241584.0,223768.69,236238.02,242660.8,235120.23,241252.94,235053.81,243859.03,242873.86,244585.38,239511.33,246217.0,244979.36,237470.84,239655.16,242556.42,243171.02,236830.3,245773.67,239625.2,246031.56,232928.44,158398.52,130315.8,127073.86,63070.75,56720.56,56502.1,1898.68,0.0,248741.3,292924.78,287734.78,225018.92,169717.14,155371.63,289505.13,200595.45,316081.69,84085.12,114150.01,393667.66,328095.81,169046.19,127699.99,305199.16,15398.7,251217.44,290525.03,202625.95,240639.47,79168.03,250050.36,254500.05,30939.5,292050.03,246589.45,155850.88,274070.47,214134.05,231411.75
Hesburger Narva Pähklimägi,213549.11,214047.41,213087.61,216627.19,215190.31,212415.63,213803.13,294101.63,248627.03,160051.2,148773.0,149693.95,146556.53,146270.98,245272.31,100322.36,48412.39,102522.85,15476.45,14310.58,1902.52,9717.0,31758.69,15746.47,14475.61,19204.54,11702.96,17199.14,8269.82,11358.6,8770.95,14657.97,8613.56,10378.7,14135.07,13467.63,12609.1,9747.35,14719.14,9864.55,13729.04,9413.18,21253.57,92711.63,120688.24,122021.36,188022.61,192236.81,194383.09,247686.28,248741.3,0.0,185969.97,276999.38,225081.58,167820.05,215706.86,198951.59,48570.55,173158.7,165359.69,142506.33,158242.11,122083.68,88297.59,188035.22,188031.14,240976.14,247085.0,42176.41,151214.8,264169.22,170350.58,286136.84,6151.43,221090.86,140028.03,134567.55,113423.13,218265.17,113117.63,140868.84
Abja-Paluoja,124819.31,124725.8,123296.34,119895.06,121769.24,123598.64,122367.35,130166.7,76496.39,42019.11,66081.0,65106.5,68451.02,68526.21,246548.73,191540.88,137645.89,115059.53,184592.91,183091.44,186714.13,190635.92,206826.91,195186.83,196956.17,200093.94,193884.44,198088.53,191166.31,195104.2,192558.69,195743.61,193640.66,195405.8,195024.47,194531.25,195341.0,192226.69,195608.53,194891.66,194882.09,194440.28,202142.97,175855.64,196355.33,196893.38,235674.36,239888.56,237629.64,291869.78,292924.78,185969.97,0.0,104833.86,97127.88,123345.54,178777.63,15484.32,181912.92,29572.31,215868.95,221714.7,249460.63,130700.55,216153.84,164543.89,12345.92,284734.44,97051.23,216491.03,91071.03,141511.64,220859.83,166822.17,185910.41,264849.13,67670.59,63263.42,164083.58,47848.03,103212.05,81061.62
Antsla,90655.73,90562.21,89132.75,85731.48,87605.66,89435.06,88203.77,34810.38,40692.43,116113.38,170342.52,169368.0,172712.53,172787.72,350810.25,287543.13,228675.3,192659.28,275622.31,274120.84,277743.53,281665.34,283324.47,286216.25,287985.59,288225.84,284913.84,289117.94,282195.72,286133.63,283588.09,286773.03,284670.06,286435.22,286053.88,285560.66,286370.41,283256.09,286637.94,285921.06,285911.5,285469.69,286034.03,219319.36,228223.38,227406.05,243712.11,247926.31,245667.38,286679.78,287734.78,276999.38,104833.86,0.0,63072.46,141510.47,144614.05,89587.48,253701.06,133833.83,223906.7,259977.72,345462.84,234962.06,269916.66,160078.95,116550.5,280448.78,36646.01,301405.13,126045.84,55257.84,228897.58,79576.8,276939.81,262077.66,171932.09,143532.88,200506.94,58734.21,180811.81,153563.52
Elva,27939.86,27846.34,26416.88,23015.61,24889.79,26719.19,25487.89,82859.28,77459.77,74242.33,162394.83,161420.33,164764.84,164840.03,342862.56,255061.44,176757.5,124840.7,223704.52,213024.03,224520.56,231973.73,220608.59,226627.75,233050.53,225509.97,231642.66,225443.55,221595.14,233263.59,234975.11,229901.05,236606.73,235369.09,227860.58,230044.89,232946.16,233560.75,227220.03,236163.41,230014.94,236421.3,223318.17,156603.48,165507.52,164690.19,180996.23,185210.44,182951.52,223963.91,225018.92,225081.58,97127.88,63072.46,0.0,78794.6,81898.17,81881.51,190985.19,125886.14,161190.83,197261.84,312981.19,227014.39,207200.8,97363.08,108659.75,217732.91,26555.11,249487.31,68299.1,56280.98,166181.7,96968.34,225022.02,199361.78,163984.42,90950.69,137791.08,49299.96,112993.23,86207.81
