,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Jõgeva,38312.98,38671.73,37980.7,40529.15,39494.61,37496.89,38495.86,96310.52,112246.02,61114.63,108833.16,108123.88,110531.91,110593.68,224030.95,164685.7,98389.05,49096.0,131690.3,115442.96,119531.83,115676.83,107494.01,111827.77,116452.05,111022.96,115438.41,110975.14,117314.8,116605.44,117837.74,114184.47,119012.46,118121.38,112715.38,114288.03,116376.9,116819.39,112254.2,118693.26,114266.47,118878.95,109444.9,58633.69,65044.57,64456.07,80975.9,84010.13,82383.69,121436.51,122196.12,120830.01,88808.5,101887.15,56731.84,0.0,45774.44,86346.38,86165.25,102838.13,66716.05,81876.77,196502.48,143556.67,95063.68,29762.0,97646.03,116299.05,75594.72,150914.17,23793.56,74759.27,70309.46,90576.02,124976.32,101981.7,101386.98,55447.17,45088.79,92048.84,57501.37,44519.25
Kallaste,39309.63,39743.21,40132.72,42827.71,42117.67,39758.2,41118.91,83311.35,114480.62,102540.93,150259.45,149550.17,151958.22,152019.98,265457.25,217953.22,145073.38,95780.33,166168.72,149921.39,154010.25,150155.27,141972.44,146306.2,150930.48,145501.39,149916.83,145453.56,151793.23,151083.86,152316.17,148662.89,153490.89,152599.81,147193.81,148766.45,150855.33,151297.83,146732.63,153171.69,148744.91,153357.38,143923.33,88589.41,77871.26,77282.76,80171.09,83205.32,81578.88,111107.69,111867.3,155308.44,128719.42,104121.75,58966.44,45774.44,0.0,117742.09,120643.68,149425.33,65911.23,91882.31,249770.0,184982.97,118154.98,19955.31,137022.36,106621.41,77829.32,185392.61,65219.86,61760.1,69504.65,68535.97,159454.75,93394.23,142813.28,96873.47,77947.03,94283.45,104185.7,85945.55
Karksi-Nuia,78892.19,78824.87,77795.68,75346.8,76696.2,78013.33,77126.81,82742.41,43966.64,27791.45,58140.78,57439.13,59847.17,59901.3,188077.48,143860.58,108451.51,86101.12,142253.23,141172.2,143780.48,146604.14,160089.31,149880.78,151154.63,153413.81,148943.03,151969.95,146986.02,149821.23,147988.47,150281.58,148767.53,150038.36,149763.88,149408.7,149991.72,147749.45,150184.41,149668.22,149661.31,149343.23,154889.08,129874.23,144633.97,145021.33,167223.0,170257.23,168630.78,207683.59,208443.22,143244.69,11148.66,64502.83,58954.51,86346.38,117742.09,0.0,134235.52,31854.56,152963.14,162892.61,175677.34,104666.7,158888.91,116009.09,19451.59,202546.14,58899.32,161824.67,63108.78,90910.73,156556.56,109134.3,143201.81,188228.78,59285.27,46161.6,121398.37,23473.12,77570.98,55902.0
Kehra,119090.04,119448.8,118757.76,121306.21,120271.67,118273.95,119272.91,177087.58,166420.63,104617.11,120008.82,119299.54,117857.34,117651.73,186612.7,99756.66,48695.37,49678.03,45830.84,28650.66,33672.38,29817.38,21634.56,25968.33,30592.6,25163.51,29578.95,25115.69,31455.35,30745.98,31978.29,28325.02,33153.01,32261.93,26855.93,28428.58,30517.45,30959.94,26394.75,32833.81,28407.02,33019.5,23585.45,32087.27,52230.4,53190.22,100710.97,103745.2,105290.51,143668.7,144428.33,34970.55,130977.08,182664.2,137508.89,86165.25,120643.68,134235.52,0.0,130159.67,84393.73,69269.22,131573.44,106138.41,33621.32,100720.16,139886.84,138837.41,156371.78,65054.73,80152.15,155536.33,87987.15,171353.08,39116.87,124520.05,112562.65,87879.1,46999.51,144560.16,56757.48,76738.3
Kilingi-Nõmme,110575.42,110508.11,109478.92,107030.03,108379.43,109696.56,108810.05,114425.64,67061.67,42066.35,27325.35,26623.71,29031.75,29085.88,157262.06,117656.23,89880.67,82025.27,125514.92,122601.37,125209.65,128033.3,139690.77,131309.95,132583.78,134842.98,130372.19,133399.13,128415.17,131250.39,129417.63,131710.75,130196.7,131467.53,131193.05,130837.87,131420.88,129178.62,131613.56,131097.38,131090.48,130772.4,136318.25,125798.38,140558.13,140945.48,184745.14,187779.38,187765.97,226818.78,227578.39,124673.85,21292.01,96360.15,90637.75,102838.13,149425.33,31854.56,130159.67,0.0,168427.91,158816.77,149473.02,73851.28,154813.06,132500.84,12626.43,222871.58,90582.56,135620.33,79173.91,122593.98,172021.33,140817.53,126540.53,208554.22,28469.84,54816.79,117322.53,55156.36,73495.14,61045.65
Kiviõli,96400.27,96833.85,97223.36,99918.36,99208.3,96848.84,98209.55,149039.16,171571.25,127731.4,158571.22,157861.94,160269.98,160331.75,256668.11,181703.28,128820.67,86471.02,129918.78,113671.45,117760.31,113905.32,105722.5,110056.27,114680.55,109251.45,113666.9,109203.63,115543.3,114833.92,116066.23,112412.96,117240.95,116349.87,110943.87,112516.52,114605.39,115047.88,110482.69,116921.75,112494.96,117107.45,107673.39,54012.0,33792.52,31458.33,16823.75,19857.99,21403.29,59781.49,60541.11,119058.49,155425.27,161212.39,116057.08,66716.05,65911.23,152963.14,84393.73,168427.91,0.0,28640.88,213520.06,176193.81,68166.02,45987.72,164262.8,54950.19,134919.95,149142.67,90410.32,127487.91,4099.93,134263.78,123204.81,40632.83,151125.05,126147.34,52177.8,151374.08,95025.72,115006.53
Kunda,122371.35,122804.93,123194.44,125889.44,125179.38,122819.91,124180.63,175010.23,197542.33,133274.2,148960.08,148250.8,150658.83,150720.59,254350.73,167494.7,116433.41,76859.87,113527.94,94131.27,101305.91,95652.82,80709.32,94095.88,95629.37,88867.0,95285.98,90298.36,97290.8,96266.63,97767.6,93345.19,98753.51,97815.51,92623.27,93942.78,95912.8,96724.2,92230.2,98388.71,93764.38,98620.0,87288.94,40701.98,20482.51,18148.31,41223.05,47097.16,48642.46,81428.12,82187.73,102604.09,159634.17,187183.47,142028.16,81876.77,91882.31,162892.61,69269.22,158816.77,28640.88,0.0,199311.48,173876.45,41309.25,71958.8,168543.94,76126.07,160891.03,133257.05,94523.86,153458.98,31339.11,160234.86,106813.97,61808.71,141513.91,116536.2,42301.91,164345.2,85414.58,105395.39
Kärdla,221250.47,221609.22,220918.19,220524.59,219425.09,220434.38,221433.34,257086.91,215495.55,165572.95,122379.45,123042.55,120783.62,120578.02,82425.02,31831.5,98238.44,147526.95,93048.48,106736.82,105199.09,110825.69,126695.5,115166.88,113101.42,117656.63,112381.59,116212.76,109909.8,111201.55,110270.58,114503.13,108996.91,109703.23,114006.68,113630.25,112344.27,110973.59,114427.2,109221.68,113840.34,109138.36,119131.88,161213.59,181356.72,182316.53,229837.28,232871.53,234416.83,272795.03,273554.66,104048.65,169725.89,238847.34,215460.61,196502.48,249770.0,175677.34,131573.44,149473.02,213520.06,199311.48,0.0,77101.73,167403.42,229846.47,161060.31,267963.72,226392.42,91381.61,172767.31,257696.77,217113.47,273513.5,99925.73,253646.36,123654.16,150290.66,176125.83,197817.63,140228.56,152605.63
Lihula,168174.7,168533.45,167842.42,167448.83,166349.31,167358.61,168357.58,187237.78,139873.81,105479.51,46587.59,47339.04,46264.23,44786.16,81379.43,44637.54,57598.0,102695.91,79205.15,87323.34,88435.82,91259.48,107108.04,94536.13,95809.96,98069.16,93598.36,96625.3,91641.35,94476.57,92643.8,94936.92,93422.87,94693.7,94419.22,94064.05,94647.05,92404.8,94839.74,94323.55,94316.66,93998.57,99544.42,123887.35,144030.48,144990.3,192511.05,195545.28,197090.59,235468.8,236228.41,87900.02,94104.15,169172.28,163449.89,143556.67,184982.97,104666.7,106138.41,73851.28,176193.81,173876.45,77101.73,0.0,138228.56,173219.39,85438.57,230637.48,163394.7,76623.52,119892.45,195406.11,179787.23,220437.73,80230.75,216320.13,54105.96,96751.49,130543.55,127968.5,85467.52,99066.46
Loksa,130765.27,131124.02,130432.99,132981.44,131946.89,129949.18,130948.14,188762.8,191074.03,129270.51,144662.22,143952.94,142510.73,142305.13,218702.84,135586.64,80785.52,74331.43,74497.73,62565.14,62275.7,56622.61,41679.11,55065.66,56599.15,49836.78,56255.77,51268.14,58260.59,57236.41,58737.39,54314.97,59723.29,58785.29,53593.05,54912.57,56882.59,57693.99,53199.98,59358.5,54734.17,59589.79,48258.72,36582.34,42718.63,43678.45,80748.2,86622.31,88167.61,120953.27,121712.88,63573.88,155630.47,194339.44,149184.13,95063.68,118154.98,158888.91,33621.32,154813.06,68166.02,41309.25,167403.42,138228.56,0.0,98231.47,164540.25,115651.22,168047.0,94226.83,98077.73,167211.56,70864.26,183028.3,67783.76,101333.86,137216.05,112532.5,51375.24,169213.56,81410.88,101391.69
