,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Mustvee,50444.34,50877.92,51267.43,53962.43,53252.38,50892.91,52253.63,103083.23,125615.33,90777.34,138495.88,137786.59,140194.63,140256.39,253693.67,198029.7,130208.48,81000.19,146245.2,129997.88,134086.73,130231.74,122048.92,126382.69,131006.96,125577.88,129993.31,125530.05,131869.72,131160.34,132392.66,128739.38,133567.38,132676.28,127270.29,128842.94,130931.81,131374.31,126809.11,133248.17,128821.38,133433.86,123999.81,68665.9,57947.74,57359.24,60247.57,63281.8,61655.36,91184.17,91943.78,135384.92,118471.22,115256.46,70101.15,29762.0,19955.31,116009.09,100720.16,132500.84,45987.72,71958.8,229846.47,173219.39,98231.47,0.0,127308.75,86697.89,88964.03,165469.09,53456.27,81531.98,49581.13,88307.85,139531.23,73470.7,131049.7,85109.88,58023.51,105418.16,89554.9,74181.97
Mõisaküla,98172.45,98105.13,97075.95,94627.06,95976.46,97293.59,96407.08,102022.67,54617.71,39091.11,38912.64,38211.0,40619.04,40673.17,168849.36,129243.53,100588.8,91752.45,137102.22,133309.5,135917.78,138741.44,150398.91,142018.09,143291.92,145551.13,141080.33,144107.25,139123.31,141958.53,140125.77,142418.88,140904.83,142175.66,141901.17,141546.0,142129.02,139886.75,142321.7,141805.52,141798.61,141480.53,147026.38,135525.56,150285.31,150672.67,178522.66,181556.89,179930.44,218983.27,219742.88,135381.98,8889.04,83916.19,78234.78,97646.03,137022.36,19451.59,139886.84,12626.43,164262.8,168543.94,161060.31,85438.57,164540.25,127308.75,0.0,213845.8,78179.59,147207.63,74408.45,110191.01,167856.22,128414.56,138127.83,199528.44,40057.14,54429.2,127049.71,42753.39,83222.32,67201.66
Narva-Jõesuu,137110.45,137544.03,137933.53,140628.53,139918.48,137559.02,138919.73,189749.33,212281.44,177314.39,213014.89,212305.61,214713.64,214775.41,311111.78,236146.95,183264.34,140914.69,184362.45,168115.13,172203.98,168348.98,155051.28,164499.94,169124.22,163695.13,168110.56,163647.3,169986.97,169277.59,170509.91,166856.63,171684.63,170793.53,165387.53,166960.19,169049.06,169491.55,164926.36,171365.42,166938.63,171551.11,162117.06,108455.67,88236.2,85902.0,39349.11,35092.23,33958.27,10127.7,11086.99,173502.17,205008.27,201922.56,156767.25,116299.05,106621.41,202546.14,138837.41,222871.58,54950.19,76126.07,267963.72,230637.48,115651.22,86697.89,213845.8,0.0,175630.14,203586.33,139993.33,168198.09,51409.91,174973.95,177648.48,15165.75,205568.72,171646.94,106621.47,192084.27,149469.39,160719.02
Otepää,38979.42,38912.11,37882.91,35434.03,36783.43,38100.56,37214.05,40631.52,37566.46,62775.05,116868.78,116167.13,118575.17,118629.3,246805.48,194575.64,143107.38,109004.68,176909.09,172496.55,178436.34,185883.36,177700.55,182034.31,186658.58,181229.5,185644.94,181181.67,187521.33,186811.97,188044.27,184391.0,189218.98,188327.91,182921.91,184494.56,186583.42,187025.92,182460.72,188899.78,184473.0,189085.48,179651.44,131617.02,138027.89,137439.39,149179.81,152214.05,150587.59,180116.41,180876.03,177900.55,69876.66,26385.07,19119.62,75594.72,77829.32,58899.32,156371.78,90582.56,134919.95,160891.03,226392.42,163394.7,168047.0,88964.03,78179.59,175630.14,0.0,195472.64,68294.83,30709.21,138513.38,51505.32,177857.67,162402.95,118013.27,80318.19,118072.12,35426.2,100474.55,81189.09
Paldiski,183838.97,184197.72,183506.69,186055.14,185020.59,183022.88,184021.84,241836.5,201642.86,132808.53,108526.76,109189.87,106930.94,106725.33,147486.44,59564.84,52801.96,99540.1,19366.67,38102.72,31517.28,37143.88,53025.59,41485.07,38926.77,44605.4,38127.61,43139.12,36301.11,37033.23,36018.44,40223.11,34898.91,35528.58,40891.3,39449.78,38170.06,37073.44,41519.93,34985.72,39554.3,35218.61,46080.66,96836.2,116979.33,117939.15,165459.91,168494.14,170039.44,208417.64,209177.25,30366.84,155873.2,217011.05,179630.33,150914.17,185392.61,161824.67,65054.73,135620.33,149142.67,133257.05,91381.61,76623.52,94226.83,165469.09,147207.63,203586.33,195472.64,0.0,134598.2,220285.25,152736.08,236102.0,26243.92,189268.98,109801.47,114460.38,111748.44,174722.53,107168.34,116775.34
Põltsamaa,48529.91,48888.66,48197.63,47804.03,46704.52,47713.82,48712.78,106527.45,88067.95,37450.41,85168.95,84459.66,86867.7,86929.47,200366.73,140950.53,74666.78,35825.22,115374.33,99544.82,107822.25,104800.16,101480.91,101226.57,107298.17,106634.24,107139.04,106953.62,105715.96,108130.61,106662.01,105130.67,107846.96,108984.48,103514.56,105092.12,108187.73,106197.65,103487.77,108828.69,105099.46,108386.26,106238.06,61505.48,76265.23,76652.58,104670.17,107704.41,106077.96,145130.78,145890.39,108874.34,65570.91,90752.74,49175.21,23793.56,65219.86,63108.78,80152.15,79173.91,90410.32,94523.86,172767.31,119892.45,98077.73,53456.27,74408.45,139993.33,68294.83,134598.2,0.0,84976.2,94003.73,100792.94,108822.71,125675.97,77722.77,31782.95,53029.63,69874.86,33329.77,20855.04
Põlva,37530.95,37142.78,36940.66,36386.91,37530.14,37265.11,37114.84,21762.11,64193.53,93391.62,148880.19,148178.55,150586.58,150640.72,278816.91,225879.98,159596.23,123691.89,201061.38,184814.05,188902.91,185047.91,176865.09,181198.86,185823.14,180394.05,184809.48,180346.22,186685.89,185976.52,187208.83,183555.55,188383.55,187492.45,182086.45,183659.11,185747.98,186190.47,181625.28,188064.34,183637.55,188250.03,178815.98,130781.57,137192.44,136603.95,141747.77,144782.0,143155.55,172684.36,173443.98,190201.09,101888.07,39785.54,40522.18,74759.27,61760.1,90910.73,155536.33,122593.98,127487.91,153458.98,257696.77,195406.11,167211.56,81531.98,110191.01,168198.09,30709.21,220285.25,84976.2,0.0,131081.33,21741.24,194347.41,154970.91,150024.69,105772.94,117236.67,67437.62,118259.22,105583.57
Püssi,99993.69,100427.27,100816.77,103511.77,102801.72,100442.25,101802.97,152632.58,175164.67,131324.81,162164.64,161455.36,163863.39,163925.16,260261.52,185296.69,132414.08,90064.43,133512.2,117264.87,121353.73,117498.73,109315.91,113649.68,118273.95,112844.87,117260.31,112797.05,119136.71,118427.34,119659.65,116006.38,120834.36,119943.28,114537.28,116109.94,118198.8,118641.3,114076.1,120515.16,116088.38,120700.86,111266.8,57605.42,37385.94,35051.74,13283.48,16317.71,17863.01,56241.21,57000.83,122651.91,159018.69,164805.81,119650.49,70309.46,69504.65,156556.56,87987.15,172021.33,4099.93,31339.11,217113.47,179787.23,70864.26,49581.13,167856.22,51409.91,138513.38,152736.08,94003.73,131081.33,0.0,137857.19,126798.23,37092.55,154718.45,129740.76,55771.21,154967.5,98619.13,118599.95
Räpina,52672.33,52789.26,53718.33,55375.71,56518.95,53849.23,56103.63,35833.52,82417.08,121629.66,167103.75,166402.09,168810.14,168864.27,297040.47,241696.72,175412.97,139508.64,216878.13,200630.78,204719.66,200864.66,192681.84,197015.59,201639.88,196210.78,200626.23,196162.97,202502.63,201793.27,203025.56,199372.3,204200.28,203309.2,197903.2,199475.86,201564.72,202007.22,197442.02,203881.08,199454.3,204066.78,194632.73,146598.31,146223.8,145635.3,148523.63,151557.86,149931.42,179460.23,180219.84,206017.83,120111.63,57295.14,69816.98,90576.02,68535.97,109134.3,171353.08,140817.53,134263.78,160234.86,273513.5,220437.73,183028.3,88307.85,128414.56,174973.95,51505.32,236102.0,100792.94,21741.24,137857.19,0.0,210164.14,161746.77,168248.23,132328.23,133053.41,85661.17,134075.95,121400.32
Saue,157901.11,158259.86,157568.83,160117.28,159082.73,157085.02,158083.98,215898.66,178968.03,115193.56,99446.96,100110.06,97851.13,97645.53,156030.56,68108.95,34813.86,73764.61,7020.04,12327.23,5579.43,11206.02,27075.84,15547.21,14758.22,18036.96,12761.93,16593.1,10290.13,12514.0,10650.92,14883.47,10537.64,11808.47,14387.02,14010.59,13414.32,11353.92,14807.54,11438.32,14220.68,11113.34,19512.22,70898.34,91041.48,92001.3,139522.05,142556.28,144101.58,182479.78,183239.41,4428.98,133855.09,199396.08,162015.36,124976.32,159454.75,143201.81,39116.87,126540.53,123204.81,106813.97,99925.73,80230.75,67783.76,139531.23,138127.83,177648.48,177857.67,26243.92,108822.71,194347.41,126798.23,210164.14,0.0,163331.13,100776.88,96845.4,85810.59,157107.55,81392.85,101373.66
Sillamäe,123883.27,124316.84,124706.34,127401.34,126691.3,124331.83,125692.55,176522.14,199054.25,162997.03,198697.53,197988.25,200396.28,200458.06,296794.41,221829.59,168946.98,126597.32,170045.09,153797.77,157886.63,154031.63,140733.94,150182.58,154806.86,149377.77,153793.2,149329.94,155669.61,154960.23,156192.55,152539.27,157367.27,156476.19,151070.17,152642.83,154731.7,155174.2,150609.0,157048.06,152621.27,157233.75,147799.7,94138.32,73918.84,71584.64,25031.75,20774.87,19640.92,21516.72,22276.34,159184.81,190690.91,188695.38,143540.06,101981.7,93394.23,188228.78,124520.05,208554.22,40632.83,61808.71,253646.36,216320.13,101333.86,73470.7,199528.44,15165.75,162402.95,189268.98,125675.97,154970.91,37092.55,161746.77,163331.13,0.0,191251.36,157329.58,92304.11,178857.08,135152.03,146401.66
Sindi,126005.01,126363.77,125672.73,125508.42,126857.82,125188.92,127288.45,141856.34,94492.38,57569.9,7580.03,6870.75,9278.79,9340.55,137516.75,91837.38,66026.58,64722.41,99696.07,98747.27,101355.56,104179.21,115836.68,107455.86,108729.7,110988.89,106518.1,109545.03,104561.09,107396.3,105563.54,107856.66,106342.61,107613.44,107338.95,106983.78,107566.79,105324.53,107759.48,107243.29,107236.39,106918.3,112464.16,108495.52,123255.27,123642.63,167442.28,170476.52,170463.09,209515.92,210275.53,100819.76,48722.72,123790.85,118068.46,101386.98,142813.28,59285.27,112562.65,28469.84,151125.05,141513.91,123654.16,54105.96,137216.05,131049.7,40057.14,205568.72,118013.27,109801.47,77722.77,150024.69,154718.45,168248.23,100776.88,191251.36,0.0,51759.54,100019.66,82587.06,56185.27,57988.4
Suure-Jaani,80065.2,80423.95,79732.92,80413.88,78239.81,79249.11,80248.07,120324.15,82915.34,17654.08,59205.71,58496.43,60904.46,60966.23,189142.42,118473.88,62095.1,39744.71,95896.82,94815.8,97424.08,100247.73,113732.9,103524.38,104798.22,107057.41,102586.62,105613.55,100629.6,103464.83,101632.06,103925.18,102411.13,103681.96,103407.48,103052.3,103635.31,101393.05,103828.0,103311.8,103304.91,102986.83,108532.67,83517.82,98277.56,98664.92,136323.78,139358.02,137731.58,176784.39,177544.0,96888.28,45549.56,103343.38,65484.34,55447.17,96873.47,46161.6,87879.1,54816.79,126147.34,116536.2,150290.66,96751.49,112532.5,85109.88,54429.2,171646.94,80318.19,114460.38,31782.95,105772.94,129740.76,132328.23,96845.4,157329.58,51759.54,0.0,75041.97,61054.86,31214.57,12716.48
Tamsalu,80790.38,81149.13,80458.1,83006.55,81972.01,79974.29,80973.26,138787.92,154723.41,91779.98,107465.84,106756.55,109164.59,109226.37,211017.83,144309.05,77261.16,35365.63,92524.55,76277.23,80366.09,76511.09,68328.27,72662.04,77286.31,71857.23,76272.66,71809.4,78149.06,77439.7,78672.01,75018.73,79846.72,78955.64,73549.64,75122.29,77211.16,77653.66,73088.46,79527.52,75100.73,79713.21,70279.16,14945.25,24043.27,24430.63,68495.03,71529.27,73074.56,111452.77,112212.38,81664.27,118139.94,144364.55,99209.23,45088.79,77947.03,121398.37,46999.51,117322.53,52177.8,42301.91,176125.83,130543.55,51375.24,58023.51,127049.71,106621.47,118072.12,111748.44,53029.63,117236.67,55771.21,133053.41,85810.59,92304.11,100019.66,75041.97,0.0,122850.97,43920.34,63901.15
Tõrva,55433.54,55366.23,54337.04,51888.15,53237.55,54554.69,53668.18,59269.29,21860.47,41312.86,81442.57,80740.93,83148.97,83203.09,211379.28,166000.84,122357.25,96425.77,156158.98,155077.95,157686.23,160509.89,170413.95,163786.53,165060.38,167319.56,162848.77,165875.7,160891.77,163726.98,161894.22,164187.33,162673.28,163944.11,163669.63,163314.45,163897.47,161655.2,164090.16,163573.95,163567.06,163248.98,166610.88,131326.83,146086.58,146473.92,165633.94,168668.17,167041.72,196570.53,197330.16,157150.44,34450.45,42288.52,35495.87,92048.84,94283.45,23473.12,144560.16,55156.36,151374.08,164345.2,197817.63,127968.5,169213.56,105418.16,42753.39,192084.27,35426.2,174722.53,69874.86,67437.62,154967.5,85661.17,157107.55,178857.08,82587.06,61054.86,122850.97,0.0,87895.63,68276.91
Türi,81812.93,82171.68,81480.65,81087.05,79987.54,80996.84,81995.8,139810.47,109756.1,47952.58,63631.45,62922.16,65330.2,65391.97,165941.8,108411.79,42128.04,8623.09,87944.46,72114.95,80392.39,77370.29,82611.27,73796.71,79868.3,79204.38,79709.18,79523.76,78286.09,80700.75,79232.14,77700.81,80417.1,81554.62,76084.7,77662.25,80757.87,78767.79,76057.91,81398.83,77669.6,80956.39,78808.2,52396.2,67155.94,67543.3,111342.95,114377.19,114363.77,153416.59,154176.2,81444.48,74312.55,130184.15,81354.93,57501.37,104185.7,77570.98,56757.48,73495.14,95025.72,85414.58,140228.56,85467.52,81410.88,89554.9,83222.32,149469.39,100474.55,107168.34,33329.77,118259.22,98619.13,134075.95,81392.85,135152.03,56185.27,31214.57,43920.34,87895.63,0.0,20073.76
Võhma,69137.28,69496.04,68805.01,68411.41,67311.9,68321.2,69320.16,127134.82,90137.38,28333.87,65434.58,64725.29,67133.34,67195.1,179540.75,120788.84,64410.07,28603.9,98211.79,92095.77,100373.2,97351.1,102592.09,93777.52,99849.12,99185.2,99689.99,99504.57,98266.91,100681.56,99212.95,97681.63,100397.91,101535.43,96065.52,97643.07,100738.68,98748.6,96038.73,101379.64,97650.41,100937.2,98789.01,72377.01,87136.76,87524.11,125395.87,128430.11,126803.66,165856.48,166616.09,101425.29,58364.12,110565.43,62069.48,44519.25,85945.55,55902.0,76738.3,61045.65,115006.53,105395.39,152605.63,99066.46,101391.69,74181.97,67201.66,160719.02,81189.09,116775.34,20855.04,105583.57,118599.95,121400.32,101373.66,146401.66,57988.4,12716.48,63901.15,68276.91,20073.76,0.0
