,Abja-Paluoja ,Antsla ,Elva ,Haapsalu ,Jõgeva 
Abja-Paluoja ,0.0,178143.5169701268,255462.99891100597,0.0,300304.1027657519
Antsla ,178143.5169701268,0.0,77319.48194087918,178143.5169701268,122160.58579562511
Elva ,255462.99891100597,77319.48194087918,0.0,255462.99891100597,44841.103854745925
Haapsalu ,0.0,178143.5169701268,255462.99891100597,0.0,300304.1027657519
Jõgeva ,300304.1027657519,122160.58579562511,44841.103854745925,300304.1027657519,0.0
